Date,Open,High,Low,Close,Adj Close,Volume
1996-08-08,5028.799805,5041.700195,5026.399902,5041.700195,5041.700195,616300
1996-08-09,5045.100098,5053.700195,5043.799805,5046.299805,5046.299805,652500
1996-08-12,5042.000000,5064.200195,5041.399902,5064.200195,5064.200195,502100
1996-08-13,5061.399902,5067.100098,5045.299805,5048.200195,5048.200195,636900
1996-08-14,5045.399902,5049.799805,5029.799805,5048.799805,5048.799805,630900
1996-08-15,5050.200195,5074.700195,5050.200195,5073.100098,5073.100098,763900
1996-08-16,5075.799805,5092.100098,5075.799805,5089.200195,5089.200195,769600
1996-08-19,5093.399902,5117.899902,5092.200195,5117.600098,5117.600098,716300
1996-08-20,5126.000000,5150.899902,5122.600098,5150.899902,5150.899902,875600
1996-08-21,5145.600098,5167.100098,5145.600098,5167.100098,5167.100098,921400
1996-08-22,5168.899902,5182.100098,5162.200195,5182.100098,5182.100098,972100
1996-08-23,5179.500000,5193.200195,5179.500000,5193.000000,5193.000000,792300
1996-08-26,5193.399902,5200.700195,5185.700195,5186.700195,5186.700195,862100
1996-08-27,5185.600098,5185.799805,5173.899902,5173.899902,5173.899902,889200
1996-08-28,5180.000000,5185.600098,5178.000000,5184.100098,5184.100098,844000
1996-08-29,5184.799805,5184.799805,5162.299805,5162.799805,5162.799805,873700
1996-08-30,5158.100098,5158.100098,5138.100098,5143.399902,5143.399902,562000
1996-09-02,null,null,null,null,null,null
1996-09-03,5120.000000,5152.399902,5120.000000,5151.899902,5151.899902,572900
1996-09-04,5154.200195,5163.799805,5152.299805,5163.799805,5163.799805,726600
1996-09-05,5162.899902,5167.899902,5136.100098,5136.299805,5136.299805,897600
1996-09-06,5143.299805,5156.200195,5138.799805,5149.899902,5149.899902,747300
1996-09-09,5156.000000,5157.399902,5140.500000,5148.600098,5148.600098,735900
1996-09-10,5148.000000,5150.299805,5142.799805,5147.100098,5147.100098,950200
1996-09-11,5141.799805,5163.500000,5141.799805,5160.399902,5160.399902,984300
1996-09-12,5174.000000,5191.600098,5170.000000,5191.600098,5191.600098,1019600
1996-09-13,5214.700195,5243.299805,5214.700195,5243.299805,5243.299805,911800
1996-09-16,5244.200195,5271.100098,5244.200195,5265.899902,5265.899902,798700
1996-09-17,5270.299805,5273.899902,5259.600098,5268.500000,5268.500000,916300
1996-09-18,5273.399902,5273.399902,5263.500000,5271.799805,5271.799805,945400
1996-09-19,5264.399902,5278.799805,5261.299805,5276.000000,5276.000000,867900
1996-09-20,5274.899902,5289.299805,5274.500000,5287.500000,5287.500000,944900
1996-09-23,5277.600098,5284.299805,5267.200195,5284.200195,5284.200195,561500
1996-09-24,5290.600098,5299.700195,5287.700195,5299.700195,5299.700195,874800
1996-09-25,5313.700195,5322.600098,5307.899902,5322.600098,5322.600098,905700
1996-09-26,5325.000000,5326.899902,5304.100098,5304.600098,5304.600098,1110300
1996-09-27,5303.200195,5304.600098,5297.399902,5301.100098,5301.100098,834600
1996-09-30,5296.500000,5304.600098,5291.100098,5291.100098,5291.100098,756000
1996-10-01,5296.299805,5332.000000,5294.600098,5329.600098,5329.600098,831100
1996-10-02,5361.000000,5389.100098,5360.100098,5388.000000,5388.000000,1122400
1996-10-03,5386.000000,5388.200195,5378.899902,5380.000000,5380.000000,1001800
1996-10-04,5394.500000,5415.700195,5394.500000,5415.700195,5415.700195,1120500
1996-10-07,5419.100098,5441.500000,5419.100098,5441.500000,5441.500000,778500
1996-10-08,5442.600098,5454.899902,5435.100098,5436.500000,5436.500000,1104800
1996-10-09,5442.000000,5448.200195,5428.399902,5436.100098,5436.100098,1016400
1996-10-10,5430.299805,5441.299805,5428.600098,5433.600098,5433.600098,1127900
1996-10-11,5445.100098,5462.100098,5440.500000,5461.200195,5461.200195,891200
1996-10-14,null,null,null,null,null,null
1996-10-15,5495.899902,5495.899902,5471.299805,5480.600098,5480.600098,833700
1996-10-16,5486.100098,5486.100098,5463.000000,5481.000000,5481.000000,1056900
1996-10-17,5483.700195,5483.700195,5466.700195,5474.200195,5474.200195,1053000
1996-10-18,5475.000000,5494.600098,5470.000000,5492.600098,5492.600098,1059200
1996-10-21,5497.799805,5518.299805,5497.799805,5518.100098,5518.100098,900300
1996-10-22,5525.100098,5550.700195,5525.100098,5533.000000,5533.000000,1088800
1996-10-23,5524.200195,5576.200195,5523.500000,5576.200195,5576.200195,1054400
1996-10-24,5567.700195,5574.600098,5554.600098,5558.899902,5558.899902,1002700
1996-10-25,5544.899902,5558.299805,5544.899902,5549.799805,5549.799805,727800
1996-10-28,5560.299805,5574.600098,5552.399902,5553.399902,5553.399902,865600
1996-10-29,5562.299805,5565.100098,5538.799805,5565.100098,5565.100098,991800
1996-10-30,5566.100098,5598.399902,5566.100098,5590.799805,5590.799805,1165300
1996-10-31,5590.000000,5601.899902,5588.600098,5598.799805,5598.799805,1186800
1996-11-01,5606.000000,5606.000000,5579.299805,5591.299805,5591.299805,929300
1996-11-04,5597.500000,5614.700195,5596.399902,5609.299805,5609.299805,944000
1996-11-05,5630.899902,5680.000000,5630.899902,5664.500000,5664.500000,1156800
1996-11-06,5675.799805,5749.899902,5675.799805,5749.899902,5749.899902,1251800
